sex,embarked,class,who,adult_male,deck,embark_town,alive,alone,survived,pclass,age,sibsp,fare
male,C,First,man,True,unknown,Cherbourg,no,False,0,1,28.0,1.0,13.0
male,S,First,man,True,unknown,Southampton,no,False,0,1,42.0,1.0,52.0
male,C,Third,man,True,unknown,Cherbourg,yes,True,1,3,0.0,0.0,7.2292
male,S,Third,man,True,unknown,Southampton,no,True,0,3,21.0,0.0,8.05
female,S,Third,woman,False,unknown,Southampton,no,False,0,3,18.0,2.0,18.0
female,C,Third,child,False,unknown,Cherbourg,yes,False,1,3,14.0,1.0,11.2417
female,S,Third,woman,False,unknown,Southampton,no,False,0,3,40.0,1.0,9.475
female,S,Second,woman,False,unknown,Southampton,no,False,0,2,27.0,1.0,21.0
male,C,Third,man,True,unknown,Cherbourg,no,True,0,3,0.0,0.0,7.8958
female,C,Second,child,False,unknown,Cherbourg,yes,False,1,2,3.0,1.0,41.5792
female,Q,Third,woman,False,unknown,Queenstown,yes,True,1,3,19.0,0.0,7.8792
male,S,Third,man,True,unknown,Southampton,no,True,0,3,0.0,0.0,8.05
male,Q,Third,man,True,unknown,Queenstown,no,False,0,3,0.0,1.0,15.5
female,Q,Third,woman,False,unknown,Queenstown,yes,True,1,3,0.0,0.0,7.75
male,C,Third,man,True,unknown,Cherbourg,no,False,0,3,0.0,2.0,21.6792
female,S,Third,woman,False,unknown,Southampton,no,False,0,3,18.0,1.0,17.8
male,S,Third,child,False,unknown,Southampton,no,False,0,3,7.0,0.0,39.6875
male,S,Third,man,True,unknown,Southampton,no,True,0,3,21.0,0.0,7.8
female,C,First,woman,False,D,Cherbourg,yes,False,1,1,49.0,1.0,13.0
female,S,Second,woman,False,unknown,Southampton,yes,False,1,2,29.0,1.0,26.0
male,C,First,man,True,B,Cherbourg,no,False,0,1,65.0,0.0,61.9792
male,S,First,man,True,C,Southampton,yes,True,1,1,0.0,0.0,35.5
female,S,Second,woman,False,unknown,Southampton,yes,True,1,2,21.0,0.0,10.5
male,C,Third,man,True,unknown,Cherbourg,no,True,0,3,28.5,0.0,7.2292
female,S,Second,child,False,unknown,Southampton,yes,False,1,2,5.0,1.0,27.75
male,S,Third,child,False,unknown,Southampton,no,False,0,3,11.0,0.0,46.9
male,C,Third,man,True,unknown,Cherbourg,no,True,0,3,22.0,0.0,7.2292
female,unknown,First,woman,False,B,unknown,yes,True,1,1,38.0,0.0,13.0
male,S,First,man,True,C,Southampton,no,False,0,1,45.0,1.0,13.0
male,S,Third,child,False,unknown,Southampton,no,False,0,3,4.0,0.0,27.9
male,C,First,man,True,unknown,Cherbourg,no,True,0,1,0.0,0.0,27.7208
male,C,Third,man,True,unknown,Cherbourg,yes,False,1,3,0.0,1.0,15.2458
female,S,Second,woman,False,F,Southampton,yes,True,1,2,29.0,0.0,10.5
male,S,Third,man,True,unknown,Southampton,no,True,0,3,19.0,0.0,8.1583
female,S,Third,woman,False,unknown,Southampton,yes,False,1,3,17.0,0.0,7.925
male,S,Third,man,True,unknown,Southampton,no,False,0,3,26.0,2.0,8.6625
male,S,Second,man,True,unknown,Southampton,no,True,0,2,32.0,0.0,10.5
female,S,Third,woman,False,unknown,Southampton,no,False,0,3,16.0,0.0,46.9
male,S,Second,man,True,unknown,Southampton,no,True,0,2,21.0,0.0,13.0
male,C,Third,man,True,unknown,Cherbourg,no,False,0,3,26.0,1.0,14.4542
male,S,Third,man,True,unknown,Southampton,yes,True,1,3,32.0,0.0,56.4958
male,S,Third,man,True,F,Southampton,no,True,0,3,25.0,0.0,7.65
male,S,Third,man,True,unknown,Southampton,no,True,0,3,0.0,0.0,7.8958
male,S,Third,man,True,unknown,Southampton,no,True,0,3,0.0,0.0,8.05
male,S,Second,child,False,unknown,Southampton,yes,False,1,2,0.83,0.0,29.0
female,S,Third,woman,False,unknown,Southampton,yes,True,1,3,30.0,0.0,12.475
male,S,Third,man,True,unknown,Southampton,no,True,0,3,22.0,0.0,9.0
male,S,Third,man,True,unknown,Southampton,yes,True,1,3,29.0,0.0,9.5
female,Q,Third,woman,False,unknown,Queenstown,yes,True,1,3,0.0,0.0,7.7875
male,S,First,man,True,unknown,Southampton,no,True,0,1,28.0,0.0,47.1
female,S,Second,woman,False,unknown,Southampton,yes,True,1,2,17.0,0.0,10.5
female,S,Third,woman,False,unknown,Southampton,yes,False,1,3,33.0,0.0,15.85
male,S,Third,man,True,unknown,Southampton,no,False,0,3,16.0,1.0,34.375
male,S,Third,man,True,unknown,Southampton,no,True,0,3,0.0,0.0,8.05
female,S,First,woman,False,C,Southampton,yes,False,1,1,23.0,0.0,13.0
male,S,Third,man,True,unknown,Southampton,no,True,0,3,24.0,0.0,8.05
male,S,Third,man,True,unknown,Southampton,no,True,0,3,29.0,0.0,8.05
male,S,Third,man,True,unknown,Southampton,no,True,0,3,20.0,0.0,7.8542
male,S,First,man,True,E,Southampton,no,False,0,1,46.0,1.0,61.175
male,S,Third,man,True,unknown,Southampton,no,False,0,3,26.0,1.0,20.575
male,S,Third,man,True,unknown,Southampton,no,True,0,3,59.0,0.0,7.25
male,S,Third,man,True,unknown,Southampton,no,True,0,3,0.0,0.0,8.05
male,C,First,man,True,A,Cherbourg,no,True,0,1,71.0,0.0,34.6542
male,C,First,man,True,D,Cherbourg,yes,False,1,1,23.0,0.0,63.3583
female,S,Second,woman,False,unknown,Southampton,yes,False,1,2,34.0,0.0,23.0
male,S,Second,man,True,unknown,Southampton,no,False,0,2,34.0,1.0,26.0
female,S,Third,woman,False,unknown,Southampton,no,True,0,3,28.0,0.0,7.8958
male,S,Third,man,True,unknown,Southampton,no,True,0,3,0.0,0.0,7.8958
male,S,First,man,True,D,Southampton,no,False,0,1,21.0,0.0,13.0
male,S,Third,man,True,unknown,Southampton,no,True,0,3,33.0,0.0,8.6542
male,S,Third,man,True,unknown,Southampton,no,False,0,3,37.0,2.0,7.925
male,S,Third,man,True,unknown,Southampton,no,True,0,3,28.0,0.0,7.8958
female,S,Third,woman,False,unknown,Southampton,yes,True,1,3,21.0,0.0,7.65
male,S,Third,man,True,unknown,Southampton,yes,True,1,3,0.0,0.0,7.775
male,S,Third,man,True,unknown,Southampton,no,True,0,3,38.0,0.0,7.8958
female,Q,Third,woman,False,unknown,Queenstown,yes,False,1,3,0.0,1.0,24.15
male,S,First,man,True,C,Southampton,no,True,0,1,47.0,0.0,52.0
female,C,Third,child,False,unknown,Cherbourg,no,False,0,3,14.5,1.0,14.4542
male,S,Third,man,True,unknown,Southampton,no,True,0,3,22.0,0.0,8.05
female,S,Third,woman,False,unknown,Southampton,no,False,0,3,20.0,1.0,9.825
female,C,Third,woman,False,unknown,Cherbourg,no,True,0,3,17.0,0.0,14.4583
male,S,Third,man,True,unknown,Southampton,no,True,0,3,21.0,0.0,7.925
male,Q,Third,man,True,unknown,Queenstown,no,True,0,3,70.5,0.0,7.75
male,S,Second,man,True,unknown,Southampton,no,False,0,2,29.0,1.0,21.0
male,C,First,man,True,B,Cherbourg,no,False,0,1,24.0,0.0,13.0
female,S,Third,child,False,unknown,Southampton,no,False,0,3,2.0,0.0,31.275
male,S,Second,man,True,unknown,Southampton,no,False,0,2,21.0,2.0,13.0
male,S,Third,man,True,unknown,Southampton,no,True,0,3,0.0,0.0,8.05
male,C,Second,man,True,unknown,Cherbourg,no,False,0,2,32.5,1.0,30.0708
female,S,Second,woman,False,E,Southampton,yes,True,1,2,32.5,0.0,13.0
male,S,First,man,True,D,Southampton,no,False,0,1,54.0,0.0,13.0
male,C,Third,child,False,unknown,Cherbourg,yes,False,1,3,12.0,1.0,11.2417
male,Q,Third,man,True,unknown,Queenstown,no,True,0,3,0.0,0.0,7.75
male,S,Third,man,True,unknown,Southampton,yes,True,1,3,24.0,0.0,7.1417
female,C,Third,woman,False,F,Cherbourg,yes,False,1,3,0.0,1.0,22.3583
male,S,Third,man,True,unknown,Southampton,no,True,0,3,45.0,0.0,6.975
male,C,Third,man,True,unknown,Cherbourg,no,True,0,3,33.0,0.0,7.8958
male,S,Third,man,True,unknown,Southampton,no,True,0,3,20.0,0.0,7.05
female,S,Third,woman,False,unknown,Southampton,no,False,0,3,47.0,1.0,14.5
female,S,Second,woman,False,unknown,Southampton,yes,False,1,2,29.0,1.0,26.0
male,S,Second,man,True,unknown,Southampton,no,True,0,2,25.0,0.0,13.0
male,C,Second,man,True,unknown,Cherbourg,no,True,0,2,23.0,0.0,15.0458
female,S,First,woman,False,D,Southampton,yes,False,1,1,19.0,0.0,26.2833
male,S,First,man,True,C,Southampton,no,False,0,1,37.0,1.0,53.1
male,S,Third,man,True,unknown,Southampton,no,True,0,3,16.0,0.0,9.2167
male,C,First,man,True,B,Cherbourg,no,True,0,1,24.0,0.0,13.0
female,C,Third,woman,False,unknown,Cherbourg,no,False,0,3,0.0,0.0,15.2458
female,S,Third,woman,False,unknown,Southampton,yes,True,1,3,22.0,0.0,7.75
female,S,Third,woman,False,unknown,Southampton,yes,False,1,3,24.0,1.0,15.85
male,Q,Third,man,True,unknown,Queenstown,no,True,0,3,19.0,0.0,6.75
male,S,Second,man,True,unknown,Southampton,no,True,0,2,18.0,0.0,11.5
male,S,Second,man,True,unknown,Southampton,no,False,0,2,19.0,1.0,36.75
male,S,Third,man,True,unknown,Southampton,yes,True,1,3,27.0,0.0,7.7958
female,S,Third,child,False,unknown,Southampton,no,False,0,3,9.0,2.0,34.375
male,S,Second,man,True,F,Southampton,no,False,0,2,36.5,0.0,26.0
male,S,Second,man,True,unknown,Southampton,no,True,0,2,42.0,0.0,13.0
male,S,Second,man,True,unknown,Southampton,no,True,0,2,51.0,0.0,12.525
female,S,First,woman,False,C,Southampton,yes,False,1,1,22.0,1.0,13.0
male,S,Third,man,True,unknown,Southampton,no,True,0,3,55.5,0.0,8.05
male,S,Third,man,True,unknown,Southampton,no,False,0,3,40.5,0.0,14.5
male,S,Third,man,True,unknown,Southampton,no,True,0,3,0.0,0.0,7.3125
male,C,First,man,True,unknown,Cherbourg,no,False,0,1,51.0,0.0,61.3792
female,Q,Third,woman,False,unknown,Queenstown,yes,True,1,3,16.0,0.0,7.7333
male,S,Third,man,True,unknown,Southampton,no,True,0,3,30.0,0.0,8.05
male,S,Third,man,True,unknown,Southampton,no,True,0,3,0.0,0.0,8.6625
male,S,Third,man,True,unknown,Southampton,no,False,0,3,0.0,0.0,13.0
male,S,Third,man,True,unknown,Southampton,no,False,0,3,44.0,0.0,16.1
female,S,Second,woman,False,unknown,Southampton,yes,True,1,2,40.0,0.0,15.75
male,S,Third,man,True,unknown,Southampton,no,True,0,3,26.0,0.0,7.775
male,S,Third,man,True,unknown,Southampton,no,True,0,3,17.0,0.0,8.6625
male,S,Third,child,False,unknown,Southampton,no,False,0,3,1.0,0.0,39.6875
male,S,Third,child,False,unknown,Southampton,yes,False,1,3,9.0,0.0,20.525
female,S,First,woman,False,E,Southampton,yes,False,1,1,0.0,0.0,55.0
female,S,Third,woman,False,unknown,Southampton,no,False,0,3,45.0,1.0,27.9
male,S,First,man,True,unknown,Southampton,no,True,0,1,0.0,0.0,25.925
male,S,Third,man,True,unknown,Southampton,no,True,0,3,28.0,0.0,56.4958
male,S,First,man,True,B,Southampton,no,True,0,1,61.0,0.0,33.5
male,Q,Third,child,False,unknown,Queenstown,no,False,0,3,4.0,0.0,29.125
female,S,Third,child,False,unknown,Southampton,yes,False,1,3,1.0,1.0,11.1333
male,S,Third,man,True,unknown,Southampton,no,True,0,3,21.0,0.0,7.925
male,C,First,man,True,A,Cherbourg,no,True,0,1,56.0,0.0,30.6958
male,S,Third,man,True,unknown,Southampton,no,False,0,3,18.0,1.0,7.8542
male,S,Third,man,True,unknown,Southampton,no,False,0,3,0.0,0.0,25.4667
female,C,First,woman,False,C,Cherbourg,no,True,0,1,50.0,0.0,28.7125
male,S,Second,man,True,unknown,Southampton,no,True,0,2,30.0,0.0,13.0
male,S,Third,man,True,unknown,Southampton,no,True,0,3,36.0,0.0,0.0
female,S,Third,woman,False,unknown,Southampton,no,False,0,3,0.0,0.0,13.0
male,C,Second,man,True,unknown,Cherbourg,no,True,0,2,0.0,0.0,15.05
male,S,Third,child,False,unknown,Southampton,no,False,0,3,9.0,0.0,31.3875
male,S,Second,child,False,F,Southampton,yes,False,1,2,1.0,2.0,39.0
female,S,Third,child,False,unknown,Southampton,yes,False,1,3,4.0,0.0,22.025
male,S,First,man,True,A,Southampton,no,True,0,1,0.0,0.0,50.0
female,Q,Third,woman,False,unknown,Queenstown,yes,False,1,3,0.0,1.0,15.5
male,S,First,man,True,unknown,Southampton,yes,True,1,1,45.0,0.0,26.55
male,Q,Third,man,True,unknown,Queenstown,no,False,0,3,40.0,1.0,15.5
male,S,Third,man,True,unknown,Southampton,no,True,0,3,36.0,0.0,7.8958
female,S,Second,woman,False,unknown,Southampton,yes,True,1,2,32.0,0.0,13.0
male,S,Second,man,True,unknown,Southampton,no,True,0,2,19.0,0.0,13.0
female,S,Third,woman,False,unknown,Southampton,yes,False,1,3,19.0,1.0,7.8542
male,S,Second,child,False,F,Southampton,yes,False,1,2,3.0,1.0,26.0
female,C,First,woman,False,B,Cherbourg,yes,True,1,1,44.0,0.0,27.7208
female,C,First,woman,False,B,Cherbourg,yes,True,1,1,58.0,0.0,13.0
male,Q,Third,man,True,unknown,Queenstown,no,True,0,3,0.0,0.0,7.75
male,S,Third,man,True,unknown,Southampton,no,False,0,3,42.0,0.0,8.4042
female,Q,Third,woman,False,unknown,Queenstown,yes,True,1,3,0.0,0.0,7.75
female,S,Second,woman,False,unknown,Southampton,no,True,0,2,24.0,0.0,13.0
male,S,Third,man,True,unknown,Southampton,no,True,0,3,28.0,0.0,9.5
male,S,Third,man,True,unknown,Southampton,no,False,0,3,0.0,0.0,13.0
male,S,Third,man,True,unknown,Southampton,no,True,0,3,34.0,0.0,6.4958
male,C,Third,man,True,unknown,Cherbourg,no,True,0,3,45.5,0.0,7.225
male,S,Third,man,True,unknown,Southampton,yes,True,1,3,18.0,0.0,8.05
female,S,Third,child,False,G,Southampton,no,False,0,3,2.0,0.0,10.4625
male,S,Third,man,True,unknown,Southampton,no,False,0,3,32.0,1.0,15.85
male,C,Third,man,True,unknown,Cherbourg,yes,True,1,3,26.0,0.0,18.7875
female,Q,Third,woman,False,unknown,Queenstown,yes,True,1,3,16.0,0.0,7.75
male,C,First,man,True,A,Cherbourg,yes,True,1,1,40.0,0.0,31.0
male,S,Third,man,True,unknown,Southampton,no,True,0,3,24.0,0.0,7.05
female,S,Second,woman,False,unknown,Southampton,yes,True,1,2,35.0,0.0,21.0
male,S,Third,man,True,unknown,Southampton,no,True,0,3,22.0,0.0,7.25
male,S,Second,man,True,unknown,Southampton,no,True,0,2,30.0,0.0,13.0
male,Q,Third,man,True,unknown,Queenstown,no,False,0,3,0.0,1.0,7.75
female,C,First,woman,False,D,Cherbourg,yes,False,1,1,31.0,1.0,13.0
female,S,Third,woman,False,unknown,Southampton,yes,True,1,3,27.0,0.0,7.925
male,S,Second,man,True,unknown,Southampton,no,False,0,2,42.0,1.0,27.0
female,C,First,woman,False,D,Cherbourg,yes,True,1,1,32.0,0.0,13.0
male,S,Second,man,True,unknown,Southampton,no,True,0,2,30.0,0.0,10.5
male,S,Third,man,True,unknown,Southampton,yes,True,1,3,16.0,0.0,8.05
male,S,Second,man,True,unknown,Southampton,no,True,0,2,27.0,0.0,13.0
male,S,Third,man,True,unknown,Southampton,no,True,0,3,51.0,0.0,8.05
male,S,Third,man,True,unknown,Southampton,no,True,0,3,0.0,0.0,7.8958
male,S,First,man,True,C,Southampton,yes,False,1,1,38.0,1.0,13.0
male,S,Third,man,True,unknown,Southampton,no,True,0,3,22.0,0.0,9.35
male,S,Second,man,True,unknown,Southampton,yes,True,1,2,19.0,0.0,10.5
male,S,Third,man,True,unknown,Southampton,no,True,0,3,20.5,0.0,7.25
male,S,Second,man,True,unknown,Southampton,no,True,0,2,18.0,0.0,13.0
female,S,Third,woman,False,unknown,Southampton,no,False,0,3,0.0,0.0,25.4667
female,S,First,woman,False,C,Southampton,yes,False,1,1,35.0,1.0,13.0
male,S,Third,man,True,unknown,Southampton,no,True,0,3,29.0,0.0,7.775
male,S,Second,man,True,unknown,Southampton,no,True,0,2,59.0,0.0,13.5
female,S,Third,child,False,unknown,Southampton,yes,False,1,3,5.0,0.0,31.3875
male,S,Second,man,True,unknown,Southampton,no,True,0,2,24.0,0.0,10.5
female,S,Third,woman,False,unknown,Southampton,no,True,0,3,0.0,0.0,7.55
male,S,Second,man,True,unknown,Southampton,no,False,0,2,44.0,1.0,26.0
female,S,Second,child,False,unknown,Southampton,yes,False,1,2,8.0,0.0,26.25
male,S,Second,man,True,unknown,Southampton,no,True,0,2,19.0,0.0,10.5
male,S,Second,man,True,unknown,Southampton,no,True,0,2,33.0,0.0,12.275
female,C,Third,woman,False,unknown,Cherbourg,no,False,0,3,0.0,1.0,14.4542
female,Q,Third,woman,False,unknown,Queenstown,yes,False,1,3,0.0,1.0,15.5
male,S,Second,man,True,unknown,Southampton,no,True,0,2,29.0,0.0,10.5
male,S,Third,man,True,unknown,Southampton,no,True,0,3,22.0,0.0,7.125
male,C,Third,man,True,unknown,Cherbourg,no,True,0,3,30.0,0.0,7.225
male,Q,First,man,True,C,Queenstown,no,False,0,1,44.0,2.0,13.0
female,S,Third,woman,False,unknown,Southampton,no,True,0,3,25.0,0.0,7.775
female,S,Second,woman,False,unknown,Southampton,yes,False,1,2,24.0,0.0,14.5
male,S,First,man,True,D,Southampton,yes,False,1,1,37.0,1.0,52.5542
male,S,Second,man,True,unknown,Southampton,no,False,0,2,54.0,1.0,26.0
male,S,Third,man,True,unknown,Southampton,no,True,0,3,0.0,0.0,7.25
female,S,Third,woman,False,G,Southampton,no,False,0,3,29.0,1.0,10.4625
male,S,First,man,True,C,Southampton,no,True,0,1,62.0,0.0,26.55
male,S,Third,man,True,unknown,Southampton,no,False,0,3,30.0,1.0,16.1
female,S,Third,woman,False,unknown,Southampton,no,False,0,3,41.0,0.0,20.2125
female,C,Third,woman,False,unknown,Cherbourg,yes,False,1,3,29.0,0.0,15.2458
female,C,First,woman,False,unknown,Cherbourg,yes,True,1,1,0.0,0.0,13.0
female,S,First,woman,False,B,Southampton,yes,True,1,1,30.0,0.0,13.0
female,C,First,woman,False,unknown,Cherbourg,yes,True,1,1,35.0,0.0,13.0
female,S,Second,woman,False,unknown,Southampton,yes,False,1,2,50.0,0.0,26.0
male,Q,Third,man,True,unknown,Queenstown,no,True,0,3,0.0,0.0,7.75
male,S,Third,child,False,unknown,Southampton,yes,False,1,3,3.0,0.0,31.3875
male,S,First,man,True,E,Southampton,no,False,0,1,52.0,1.0,13.0
male,S,First,man,True,B,Southampton,no,True,0,1,40.0,0.0,0.0
female,Q,Third,woman,False,unknown,Queenstown,no,True,0,3,0.0,0.0,7.75
male,S,Second,man,True,unknown,Southampton,no,True,0,2,36.0,0.0,10.5
male,S,Third,man,True,unknown,Southampton,no,False,0,3,16.0,0.0,39.6875
male,S,Third,man,True,unknown,Southampton,yes,False,1,3,25.0,1.0,7.775
female,S,First,woman,False,C,Southampton,yes,False,1,1,58.0,0.0,13.0
female,S,First,woman,False,C,Southampton,yes,True,1,1,35.0,0.0,13.0
male,S,First,man,True,unknown,Southampton,no,True,0,1,0.0,0.0,31.0
male,S,Third,man,True,unknown,Southampton,yes,True,1,3,25.0,0.0,0.0
female,S,Second,woman,False,unknown,Southampton,yes,False,1,2,41.0,0.0,19.5
male,C,First,man,True,C,Cherbourg,no,False,0,1,37.0,0.0,29.7
female,Q,Third,woman,False,unknown,Queenstown,yes,True,1,3,0.0,0.0,7.75
female,S,First,woman,False,D,Southampton,yes,False,1,1,63.0,1.0,13.0
female,S,Third,woman,False,unknown,Southampton,no,True,0,3,45.0,0.0,7.75
male,S,Second,man,True,unknown,Southampton,no,True,0,2,0.0,0.0,0.0
male,Q,Third,child,False,unknown,Queenstown,no,False,0,3,7.0,0.0,29.125
female,S,Third,woman,False,unknown,Southampton,yes,False,1,3,35.0,1.0,20.25
male,Q,Third,man,True,unknown,Queenstown,no,True,0,3,65.0,0.0,7.75
male,S,Third,man,True,unknown,Southampton,no,True,0,3,28.0,0.0,7.8542
male,S,Third,man,True,unknown,Southampton,no,True,0,3,16.0,0.0,9.5
male,S,Third,man,True,unknown,Southampton,yes,True,1,3,19.0,0.0,8.05
male,S,First,man,True,A,Southampton,no,True,0,1,0.0,0.0,26.0
male,C,Third,man,True,unknown,Cherbourg,no,True,0,3,33.0,0.0,8.6625
male,S,Third,man,True,unknown,Southampton,yes,True,1,3,30.0,0.0,9.5
male,S,Third,man,True,unknown,Southampton,no,True,0,3,22.0,0.0,7.8958
male,S,Second,man,True,unknown,Southampton,yes,True,1,2,42.0,0.0,13.0
female,Q,Third,woman,False,unknown,Queenstown,yes,True,1,3,22.0,0.0,7.75
female,S,First,woman,False,unknown,Southampton,yes,True,1,1,26.0,0.0,13.0
female,C,First,woman,False,B,Cherbourg,yes,False,1,1,19.0,1.0,13.0
male,C,Second,man,True,D,Cherbourg,no,True,0,2,36.0,0.0,12.875
female,S,Third,woman,False,unknown,Southampton,no,True,0,3,24.0,0.0,8.85
male,S,Third,man,True,unknown,Southampton,no,True,0,3,24.0,0.0,7.8958
male,C,First,man,True,unknown,Cherbourg,no,True,0,1,0.0,0.0,27.7208
male,C,Third,man,True,unknown,Cherbourg,no,True,0,3,23.5,0.0,7.2292
female,S,First,child,False,C,Southampton,no,False,0,1,2.0,1.0,13.0
male,S,First,man,True,C,Southampton,yes,True,1,1,0.0,0.0,30.5
female,C,First,woman,False,B,Cherbourg,yes,False,1,1,50.0,0.0,13.0
female,Q,Third,woman,False,unknown,Queenstown,yes,True,1,3,0.0,0.0,7.75
male,Q,Third,man,True,unknown,Queenstown,yes,False,1,3,0.0,2.0,23.25
male,S,Third,man,True,unknown,Southampton,no,True,0,3,19.0,0.0,0.0
female,Q,Second,woman,False,E,Queenstown,yes,True,1,2,0.0,0.0,12.35
male,S,Third,man,True,unknown,Southampton,no,True,0,3,0.0,0.0,8.05
male,S,First,child,False,C,Southampton,yes,False,1,1,0.92,1.0,13.0
female,C,First,woman,False,unknown,Cherbourg,yes,True,1,1,0.0,0.0,13.0
female,C,First,woman,False,C,Cherbourg,yes,False,1,1,17.0,1.0,13.0
male,C,Second,man,True,unknown,Cherbourg,no,False,0,2,30.0,1.0,24.0
female,C,First,woman,False,E,Cherbourg,yes,True,1,1,30.0,0.0,56.9292
female,C,First,woman,False,C,Cherbourg,yes,True,1,1,24.0,0.0,13.0
female,C,First,woman,False,B,Cherbourg,yes,False,1,1,18.0,2.0,13.0
female,S,Second,woman,False,unknown,Southampton,no,False,0,2,26.0,1.0,26.0
male,S,Third,man,True,unknown,Southampton,no,True,0,3,28.0,0.0,7.8958
male,S,Second,man,True,unknown,Southampton,no,False,0,2,43.0,1.0,26.25
female,S,Third,woman,False,unknown,Southampton,yes,True,1,3,26.0,0.0,7.8542
female,S,Second,woman,False,unknown,Southampton,yes,False,1,2,24.0,1.0,26.0
male,S,Second,man,True,unknown,Southampton,no,True,0,2,54.0,0.0,14.0
female,S,First,woman,False,C,Southampton,yes,False,1,1,31.0,0.0,13.0
female,C,First,woman,False,E,Cherbourg,yes,False,1,1,40.0,1.0,13.0
male,S,Third,man,True,unknown,Southampton,no,True,0,3,22.0,0.0,7.25
male,S,Third,man,True,unknown,Southampton,no,True,0,3,27.0,0.0,7.8958
female,Q,Second,woman,False,unknown,Queenstown,yes,True,1,2,30.0,0.0,12.35
female,S,Second,woman,False,unknown,Southampton,yes,False,1,2,22.0,1.0,29.0
male,S,Third,man,True,unknown,Southampton,no,False,0,3,0.0,0.0,13.0
female,C,First,woman,False,C,Cherbourg,yes,True,1,1,36.0,0.0,13.0
male,S,Third,man,True,unknown,Southampton,no,True,0,3,61.0,0.0,6.2375
female,S,Second,woman,False,D,Southampton,yes,True,1,2,36.0,0.0,13.0
female,S,Third,woman,False,unknown,Southampton,yes,False,1,3,31.0,1.0,20.525
female,C,First,woman,False,B,Cherbourg,yes,False,1,1,16.0,0.0,57.9792
female,Q,Third,woman,False,unknown,Queenstown,yes,False,1,3,0.0,2.0,23.25
male,S,First,man,True,C,Southampton,no,True,0,1,45.5,0.0,28.5
male,S,First,man,True,C,Southampton,no,False,0,1,38.0,0.0,13.0
male,S,Third,man,True,unknown,Southampton,no,False,0,3,16.0,2.0,18.0
female,S,First,woman,False,unknown,Southampton,yes,False,1,1,0.0,1.0,13.0
male,S,Third,man,True,unknown,Southampton,no,True,0,3,0.0,0.0,7.8958
male,S,First,man,True,C,Southampton,no,False,0,1,29.0,1.0,13.0
female,C,First,woman,False,E,Cherbourg,yes,True,1,1,41.0,0.0,13.0
male,S,Third,man,True,unknown,Southampton,yes,True,1,3,45.0,0.0,8.05
male,S,First,man,True,unknown,Southampton,no,True,0,1,45.0,0.0,35.5
